NAME,FED_RSSD,CITY
Midwest Bank - Detroit Lakes,806958,Detroit Lakes
Touchstone Bank,746429,Mc Kenney
Dubuque Bank and Trust Company,642549,Dubuque
"Limestone Bank, Inc.",522847,Louisville
First National Bank of Pulaski,972732,Pulaski
Old Dominion National Bank,3610718,North Garden
First State Bank and Trust - Monticello,899642,Monticello
Bank of Bartlett,225559,Bartlett
First National Community Bank,23755,New Richmond
First State Bank - Mendota,887340,Mendota
Horizon Community Bank,3154780,Lake Havasu City
Marquette Bank,716833,Chicago
First Bank and Trust,1862719,New Orleans
Citizens Bank and Trust,701839,Frostproof
First Federal Savings and Loan Association of Valdosta,828174,Valdosta
Pacific Premier Bank,431172,Irvine
State Bank of De Kalb,621357,De Kalb
Iron Workers Savings Bank,45775,Aston
Macon Bank and Trust Company,709639,Lafayette
BTC Bank,1009242,Bethany
Chickasaw Community Bank,64552,Oklahoma City
Rollstone Bank & Trust,837608,Fitchburg
The Croghan Colonial Bank,362717,Fremont
The Park Bank,403946,Madison
Pioneer Bank - Roswell,606176,Roswell
Ipava State Bank,760434,Ipava
Legends Bank - Linn,865151,Linn
Blackhawk Bank & Trust,890742,Milan
Northview Bank,16551,Sandstone
The Torrington Savings Bank,65205,Torrington
Willamette Valley Bank,2954497,Salem
Benchmark Community Bank,94522,Kenbridge
Logan Bank & Trust Company,164331,Logan
Dime Community Bank,23504,Hauppauge
Heritage Community Bank,499743,Union
Nicolet National Bank,2941068,Green Bay
Brannen Bank,760331,Inverness
Peoples Savings Bank of Rhineland,242257,Rhineland
Oriental Bank,245276,San Juan
Copiah Bank,398837,Hazlehurst
BankOrion,855741,Orion
Greenfield Savings Bank,632607,Greenfield
ACNB Bank,5210,Gettysburg
Bank of Dickson,638131,Dickson
American Heritage National Bank,61757,Long Prairie
Harford Bank,660927,Aberdeen
Alden State Bank,414102,Alden
Cross Keys Bank,755252,Saint Joseph
Bankers Trust Company,811046,Des Moines
Bank of Deerfield,588245,Deerfield
The Shelby State Bank - Shelby,961343,Shelby
HSBC Bank USA,413208,Buffalo
The Fifth Third Bank,723112,Cincinnati
The Citizens National Bank and Trust Company of Towanda,895710,Towanda
"First Midwest Bank/Illinois, National Association - Plainfield",1007846,Plainfield
"Wells Fargo Bank, National Association - San Francisco",451965,San Francisco
PlantersFIRST,300933,Cordele
MidFirst Bank - Oklahoma City,595270,Oklahoma City
"Middlesex Federal Savings, F.A.",87579,Somerville
Armstrong County Building and Loan Association,269571,Ford City
Roundbank,836852,Waseca
Evolve Bank & Trust,592448,West Memphis
"Dollar Bank, Federal Savings Bank",961624,Pittsburgh
Northwest Bank & Trust Company,901741,Davenport
"First New Mexico Bank, Las Cruces",3623969,Las Cruces
HomeTown  Bank,788773,Redwood Falls
Commercial Bank - Harrogate,497039,Harrogate
Crossroads Bank - Wabash,228279,Wabash
The Lowell Five Cent Savings Bank,923707,Tewksbury
Central Federal Savings and Loan Association,467470,Cicero
PriorityOne Bank,956938,Magee
Dedham Institution for Savings,193809,Dedham
Hometown Bank - Fond Du Lac,63742,Fond Du Lac
PlainsCapital Bank,637451,University Park
American Bank of the North,716655,Nashwauk
Heartland Bank and Trust Company,426534,Bloomington
The American National Bank of Terrell,599764,Terrell
The Piedmont Bank,3489035,Peachtree Corners
Gulf Coast Bank,459130,Abbeville
LINKBANK - Camp Hill,557317,Camp Hill
The Lincoln National Bank of Hodgenville,553944,Hodgenville
Lake Elmo Bank,1015850,Lake Elmo
AccessBank Texas,3535848,Denton
"Goldwater Bank, N.A.",3592047,Phoenix
MCNB Bank and Trust Co.,20633,Welch
Texas Regional Bank,380458,Harlingen
UBS Bank USA,3212149,Salt Lake City
Great Western Bank,131650,Sioux Falls
Hoosier Heartland State Bank,157744,Crawfordsville
American Nation Bank,256058,Ardmore
First Federal Savings Bank of Champaign Urbana,346771,Champaign
Mainstreet Community Bank of Florida,3217957,Deland
"OceanFirst Bank, National Association",85472,Toms River
The Denison State Bank,869551,Holton
"PeoplesBank, a Codorus Valley Company",556815,York
Gulf Coast Bank and Trust Company,1458608,New Orleans
Coastal Heritage Bank,115575,Weymouth
Patriot Community Bank,3437166,Woburn
First US Bank,259330,Birmingham
The Covington Savings and Loan Association,835079,Covington
First American Bank and Trust Company,921039,Athens
First Trust Bank of Illinois,2718596,Kankakee
D. L. Evans Bank,543262,Burley
Community National Bank - Derby,270504,Derby
Capitol Bank,2339599,Madison
The First National Bank of Sonora,591366,Sonora
City National Bank of Florida,814430,Miami
"Bank of Whittier, National Association",209362,Whittier
First National Bank of Oklahoma,525053,Oklahoma City
"Grand Bank for Savings, FSB",68671,Hattiesburg
Community State Bank - Union Grove,130345,Union Grove
Putnam County Bank,417626,Hurricane
Community Bank of Louisiana,974754,Mansfield
EagleBank,2652092,Bethesda
First Liberty Bank - Oklahoma City,898850,Oklahoma City
Premier Community Bank,597546,Marion
The Valley State Bank,1005552,Belle Plaine
Northpointe Bank,2737980,Grand Rapids
"Charles Schwab Bank, SSB",3150447,Westlake
Avidia Bank,619701,Hudson
The Northern Trust Company,210434,Chicago
Interaudi Bank,538802,New York
The First National Bank of East Texas,445955,Gilmer
Capital City Bank,876634,Tallahassee
Bank 7,18854,Oklahoma City
Bank & Trust Company,496845,Litchfield
Southern Bank of Tennessee,2793593,Mount Juliet
Watertown Savings Bank - Watertown,298218,Watertown
Cape Cod Co-operative Bank,119779,Yarmouth Port
Sentry Bank,746157,Saint Joseph
Western National Bank,127055,Duluth
Salem Five Cents Savings Bank,618807,Salem
Citizens Union Bank of Shelbyville,65746,Shelbyville
Emprise Bank,65858,Wichita
Bank of Marin,1436204,Novato
Metro City Bank,3437456,Doraville
"Golden Bank, National Association",536059,Houston
First Federal Community Bank of Bucyrus,346379,Bucyrus
Mercer County State Bank,866121,Sandy Lake
Baker-Boyer National Bank,69678,Walla Walla
"Midstates Bank, National Association",728948,Council Bluffs
Planters Bank & Trust Company,972648,Indianola
Citizens Bank - Carthage,126834,Carthage
American Investors Bank and Mortgage,3229642,Eden Prairie
"Community West Bank, National Association",1412712,Goleta
"INB, National Association",925037,Springfield
The Park National Bank,489623,Newark
North Side Federal Savings and Loan Association of Chicago,375379,Chicago
Mauch Chunk Trust Company,857811,Jim Thorpe
"The Commercial and Savings Bank of Millersburg, Ohio",189129,Millersburg
Prudential Bank,641775,Philadelphia
Franklin Bank,574079,Pilesgrove
River Bank,279842,Stoddard
State Bank,266244,Waterloo
The Eastern Colorado Bank,775054,Cheyenne Wells
Citizens Bank of Las Cruces,1016857,Las Cruces
"Auto Club Trust, FSB",2860459,Dearborn
First Community Bank of East Tennessee,2037185,Rogersville
Heartland National Bank,2800491,Sebring
East Wisconsin Savings Bank,35879,Kaukauna
HomeBank,697156,Palmyra
Community Bank - Topeka,2304636,Topeka
Republic Bank of Chicago,671334,Oak Brook
First American Bank and Trust,101037,Vacherie
Tri City National Bank,242444,Oak Creek
First State Bank of Forrest,980438,Forrest
Uwharrie Bank,590220,Albemarle
The Callaway Bank,719656,Fulton
Seneca Savings,276074,Baldwinsville
Pineland Bank,6039,Alma
First Federal Savings and Loan Association of Lorain,144678,Lorain
Community Bank - Longview,572655,Longview
Valliance Bank,3267738,Oklahoma City
Solvay Bank,722816,Solvay
Chambers Bank,517049,Danville
The Peoples Community Bank,420644,Mazomanie
Exchange Bank & Trust,144052,Atchison
Northwest Community Bank,545604,Winsted
Charles River Bank,947776,Medway
Carolina Bank & Trust Co.,355120,Lamar
InterBank,1187001,Oklahoma City
FORTE BANK,742944,Hartford
Outdoor Bank,43351,Manhattan
Portage Community Bank,2668598,Ravenna
AuburnBank,749635,Auburn
Southern First Bank,2849801,Greenville
Spring Valley Bank,2607412,Wyoming
First Shore Federal Savings and Loan Association,59370,Salisbury
The First National Bank of Granbury,329952,Granbury
Prevail Bank,27070,Medford
Sherburne State Bank,198251,Becker
Exchange Bank - Kearney,492650,Kearney
Farmers and Merchants Bank - Upperco,891226,Upperco
The National Bank of Coxsackie,234506,Coxsackie
"WNB FINANCIAL, N.A.",220059,Winona
LNB Community Bank,176642,Lynnville
First Federal Savings Bank of Twin Falls,582971,Twin Falls
Arizona Bank & Trust,3187612,Phoenix
First Commonwealth Bank,42420,Indiana
United Citizens Bank & Trust Company,336147,Campbellsburg
Relyance Bank,49241,White Hall
b1BANK,3408728,Baton Rouge
Hingham Institution for Savings,673909,Hingham
Third Federal Savings and Loan Association of Cleveland,915878,Cleveland
Old Second National Bank,936136,Aurora
Citizens State Bank - Monticello,795548,Monticello
"EverBank, National Association",2735146,Jacksonville
Traditions Bank - Cullman,3194692,Cullman
"Magnolia Bank, Incorporated",261146,Elizabethtown
Sycamore Bank,924843,Senatobia
Citizens Bank - Mooresville,44741,Mooresville
Community Bank of Parkersburg,901134,Parkersburg
West Point Bank,79042,Radcliff
Bank of Erath,399731,Erath
Citizens' Bank & Trust Co.,192147,Van Buren
Farmers and Merchants Union Bank,51842,Columbus
Peoples Bank - Newton,220527,Newton
The First National Bank and Trust Company,207845,Beloit
Tennessee State Bank,479839,Pigeon Forge
BankVista,2849285,Sartell
Buena Vista National Bank,621441,Chester
Piscataqua Savings Bank,591209,Portsmouth
Colfax Banking Company,178356,Colfax
Leighton State Bank,936640,Pella
Home Federal Bank,804374,Shreveport
Marine Bank,258445,Springfield
The Adirondack Trust Company,645317,Saratoga Springs
The Citizens Bank - Olanta,898627,Olanta
Anderson Brothers Bank,6329,Mullins
"River City Bank, Inc.",396244,Louisville
Midland States Bank,773247,Effingham
New Tripoli Bank,331713,New Tripoli
Ally Bank,3284070,Sandy
First State Bank and Trust - Bayport,144856,Bayport
Community Resource Bank,813853,Northfield
Flushing Bank,959304,Uniondale
"Community First Bank, Inc.",1440117,Walhalla
Heritage Southeast Bank,628178,Jonesboro
Peoples Exchange Bank,129910,Winchester
Great Plains National Bank,2482824,Elk City
First Federal Bank of Ohio,207470,Galion
"Midwest Heritage Bank, FSB",203043,West Des Moines
SpiritBank,142955,Tulsa
"CNB Bank and Trust, N.A.",613343,Carlinville
First State Community Bank,707354,Farmington
Farmers and Merchants Trust Company of Chambersburg,289515,Chambersburg
Independent Bank - Grand Rapids,636771,Grand Rapids
BLC Community Bank,578741,Little Chute
1st Colonial Community Bank,2920773,Collingswood
Cornerstone State Bank,914853,Montgomery
The Camden National Bank,593007,Camden
Charter Bank,160650,Eau Claire
Dacotah Bank,256553,Aberdeen
Providence Bank,704755,Columbia
Bank OZK,107244,Little Rock
Abbeville Building & Loan (A State-Chartered Savings Bank),114774,Abbeville
Bank of Luxemburg,580548,Luxemburg
Midwest Bank - Pierce,669555,Pierce
The Conway National Bank,631422,Conway
Town And Country Bank,590248,Springfield
"Spencer Savings Bank, SLA",845573,Elmwood Park
Citizens National Bank of Texas,552161,Waxahachie
Century Bank and Trust Company,377908,Somerville
Lake Shore Savings Bank,301574,Dunkirk
The First National Bank of Tom Bean,193162,Tom Bean
"Wilmington Savings Fund Society, FSB",437914,Wilmington
FirstBank - Lakewood,288853,Lakewood
Commercial Bank & Trust Co.,467658,Paris
Citizens Bank - New Haven,1001853,New Haven
Heritage Bank of St Tammany,194570,Covington
First Guaranty Bank,422433,Hammond
Newfield National Bank,632410,Newfield
Plains Commerce Bank,593052,Sioux Falls
Institution for Savings in Newburyport and Its Vicinity,272302,Newburyport
"The Farmers Bank, Frankfort, Indiana",423449,Frankfort
American Bank - Allentown,2580243,Allentown
The First National Bank of Oneida,966731,Oneida
"Stride Bank, National Association",278555,Enid
First United Bank and Trust Company,509950,Durant
Citizens State Bank of Loyal,479446,Loyal
Countybank,271529,Greenwood
Signature Bank,2942690,New York
The Bank of Greene County,214106,Catskill
The Exchange Bank of Alabama,672537,Altoona
Mid-America Bank,919456,Baldwin City
Regions Bank,233031,Birmingham
First-Citizens Bank & Trust Company,491224,Raleigh
Raccoon Valley Bank,102342,Perry
The Stephenson National Bank and Trust,598048,Marinette
Habib American Bank,245016,New York
Legacy Bank - Hinton,320052,Hinton
"Morgantown Bank & Trust Company, Incorporated",330949,Morgantown
Central National Bank - Junction City,234355,Junction City
Northern State Bank,625757,Ashland
SimplyBank.,724230,Dayton
Opportunity Bank of Montana,685676,Helena
Spring Hill State Bank,457060,Longview
Owen County State Bank,38740,Spencer
Southwest National Bank,499855,Wichita
Woodford State Bank,93244,Monroe
"Natbank, National Association",2233875,Hollywood
First Federal Savings and Loan Association of Greene Co,624778,Waynesburg
"Blue Ridge Bank,  National Association",233527,Martinsville
The Farmers and Merchants Bank,629746,Boswell
FirstBank - Nashville,436159,Nashville
Wilson & Muir Bank & Trust Company,899343,Bardstown
M C Bank & Trust Company,1003839,Morgan City
Wisconsin Bank & Trust,463342,Madison
Bristol Morgan Bank,807348,Oakfield
"Wintrust Bank, National Association",2239288,Chicago
BMO Bank National Association,75633,Chicago
Old National Bank - Evansville,208244,Evansville
Foresight Bank,755458,Plainview
First State Bank of Blakely,5135,Blakely
Liberty National Bank - Lawton,68756,Lawton
Generations Bank - Seneca Falls,442011,Seneca Falls
"Capital Bank, National Association",2808602,Rockville
The Union State Bank of Everest,736550,Everest
Meridian Bank,3271799,Wayne
Ozarks Federal Savings and Loan Association,1016174,Farmington
Guardian Savings Bank,727174,West Chester
CCB Community Bank,655839,Andalusia
The Monticello Banking Company,266945,Monticello
"Bank First, N.A.",594947,Manitowoc
Frost  Bank,682563,San Antonio
IncredibleBank,163549,Wausau
Country Club Bank,625654,Kansas City
Centennial Bank - Conway,456045,Conway
Bank of Hawaii,795968,Honolulu
First Interstate Bank,659855,Billings
First Midwest Bank of the Ozarks,228158,Poplar Bluff
Lakeside Bank - Chicago,201834,Chicago
Eagle Bank and Trust Company,453446,Little Rock
Journey Bank,881012,Bloomsburg
Seattle Bank,2838207,Seattle
The Victory Bank,3603961,Limerick
The First National Bank of Anson,366359,Anson
Settlers Bank - De Forest,3625664,De Forest
Quad City Bank and Trust Company - Illinois,2142155,Moline
RiverHills Bank,371223,Milford
Prospect Bank,738143,Paris
Commercial Trust Company of Fayette,709451,Fayette
Bank Of Clarke,753324,Berryville
First Federal Savings and Loan Association of Greensburg,921879,Greensburg
Sandy Spring Bank,506922,Olney
Mid-Missouri Bank,950141,Springfield
Farmers-Merchants Bank of Illinois,948036,Joy
"Winter Hill Bank, FSB",822275,Somerville
Peoples Community Bank,784159,Greenville
"Guaranty Bank & Trust Company of Delhi, Louisiana",969255,Delhi
First Internet Bank of Indiana,2758613,Fishers
Essex Savings Bank,961400,Essex
The Dime Bank,56717,Honesdale
Washington Trust Bank,58971,Spokane
F & C Bank,14155,Holden
Bank of Milton,426945,Milton
Sunmark Community Bank,100236,Perry
Kingston National Bank,966722,Kingston
Prime Meridian Bank,3690701,Tallahassee
Huntingdon Valley Bank,582177,Huntingdon Valley
ESSA Bank & Trust,952677,Stroudsburg
First United Bank,578255,Dimmitt
Clinton Savings Bank,179700,Clinton
Blue Ridge Bank,233527,Luray
Legacy Bank - Colwich,785950,Colwich
Flanagan State Bank,979133,Flanagan
CIBM Bank,340742,Champaign
"Belmont Savings Bank, SSB",919773,Belmont
Traditions Bank - York,3145797,York
Republic Bank,1216321,Philadelphia
AVB Bank,262059,Broken Arrow
"Hinsdale Bank & Trust Company, National Association",2119773,Hinsdale
Androscoggin Savings Bank,132107,Lewiston
Bluff View Bank,167453,Galesville
The Farmers Bank and Savings Company,58225,Pomeroy
FirstBank Southwest,840363,Amarillo
"SouthState Bank, National Association",1929247,Winter Haven
The Farmers State Bank of Westmoreland,615851,Westmoreland
Alliant Bank,35057,Madison
East Cambridge Savings Bank,738303,Cambridge
Omb Bank,2785646,Springfield
LincolnWay Community Bank,3376733,New Lenox
Arbor Bank,1872941,Nebraska City
Woodsfield Savings Bank,97279,Woodsfield
First Federal Savings Bank - Huntington,107570,Huntington
PremierBank,907547,Fort Atkinson
Northwest Bank - Spencer,1387605,Spencer
Montecito Bank & Trust,514066,Santa Barbara
"Home State Bank, National Association",696430,Crystal Lake
Fortress Bank,953535,Peoria
Texas Bank,414764,Henderson
"Bonvenu Bank, National Association",594853,Bossier City
Skowhegan Savings Bank,401906,Skowhegan
"Wells Fargo Bank, National Association - Sioux Falls",451965,Sioux Falls
"SouthStar Bank, S.S.B.",171768,Moulton
Citizens Commerce Bank,2512347,Versailles
"NATIONAL COOPERATIVE BANK, N.A.",99376,Hillsboro
Whitaker Bank,1445943,Lexington
Bank of 1889,864846,Berryville
Iroquois Federal Savings and Loan Association,403870,Watseka
Machias Savings Bank,137205,Machias
The Commercial Bank,469737,Crawford
Rio Bank,956750,Mcallen
"Provident Savings Bank, F.S.B.",631570,Riverside
The City National Bank of Taylor,181963,Taylor
Glenview State Bank,750239,Glenview
"American Bank and Trust Company, National Association",2733263,Davenport
Community Savings Bank - Chicago,520777,Chicago
"The First National Bank and Trust Co., Chickasha, Oklahoma",154154,Chickasha
Popular Bank,2736291,New York
The Commercial Bank of Grayson,812614,Grayson
Essex Bank,781028,Richmond
"TD Bank, National Association",497404,Wilmington
Broadway National Bank,474254,San Antonio
First National Bank of Brookfield,465038,Brookfield
Wake Forest Federal Savings and Loan Association,900379,Wake Forest
"Community Bank, National Association",202907,Canton
Texas National Bank of Jacksonville,739355,Jacksonville
American Community Bank of Indiana,1010574,Saint John
Planters First Bank,300933,Cordele
First National Bank of Eastern Arkansas,251745,Forrest City
The First National Bank of Middle Tennessee,87234,Mcminnville
The Apple Creek Banking Company,213912,Apple Creek
"GNBank, National Association",928056,Girard
Rhinebeck Bank,195111,Rhinebeck
Pinnacle Bank - Wyoming,561659,Cody
ConnectOne Bank,3317932,Englewood Cliffs
Aquesta Bank,3446636,Cornelius
Sidney State Bank,648345,Sidney
"Cadence Bank, N.A.",4262534,Atlanta
Investors Bank,35570,Short Hills
Reliant Bank,3415463,Brentwood
Quontic Bank,3340725,Astoria
The Bank of New Glarus,797140,New Glarus
Northwest Bank of Rockford,685649,Rockford
"JPMorgan Chase Bank, National Association",852218,Columbus
Greenville Savings Bank,357777,Greenville
Farmers-Merchants Bank & Trust Company,653134,Breaux Bridge
Farmers Savings Bank,205346,Mineral Point
"Sterling Bank and Trust, FSB",979375,Southfield
Longview Bank and Trust,152431,Chrisman
Bank of Charles Town,1014125,Charles Town
City National Bank,63069,Los Angeles
Burke & Herbert Bank & Trust Company,933621,Alexandria
Marquette Savings Bank,304173,Erie
PREMIER BANK OF ARKANSAS,2716828,Jonesboro
Edmonton State Bank,845247,Glasgow
Horatio State Bank,458142,Horatio
The Community Bank,729011,Zanesville
First Northern Bank and Trust Company,186717,Palmerton
Woodlands National Bank,980951,Hinckley
Coulee Bank,457752,La Crosse
Texas Bank Financial,297257,Weatherford
Chesapeake Bank of Maryland,204077,Parkville
Security National Bank of Omaha,844053,Omaha
Happy State Bank,466857,Happy
First FSB of Mascoutah,966272,Mascoutah
The Ephrata National Bank,425911,Ephrata
EAGLE.bank,278872,Cincinnati
Apex Bank,51253,Camden
Home Federal Savings Bank,796572,Rochester
TrustBank,338646,Olney
Civista Bank,542528,Sandusky
Northwestern Bank,153054,Chippewa Falls
The Upstate National Bank,313009,Ogdensburg
Centennial Bank - Trezevant,531250,Trezevant
"South Central Bank,  Inc.",473042,Glasgow
Jersey Shore State Bank,732918,Williamsport
Bay State Savings Bank,963002,Worcester
"North Shore Bank, a Co-operative Bank",161273,Peabody
"Citizens Bank of Kentucky, Inc.",495419,Paintsville
Dime Bank,311603,Norwich
Kearney Trust Company,814551,Kearney
Walden Savings Bank,341310,Montgomery
New Market Bank,165758,Elko New Market
First State Bank - Gainesville,435750,Gainesville
"Texana Bank, National Association",809650,Linden
Warsaw Federal Savings and Loan Association,875879,Cincinnati
Heritage Bank & Trust,3429219,Columbia
"Finance Factors, Ltd.",827560,Honolulu
Community Bank of Mississippi,460033,Flowood
First American Bank - Elk Grove Village,850036,Elk Grove Village
The Freedom Bank of Virginia,3019982,Fairfax
"Morgan Stanley Private Bank, National Association",2489805,Purchase
"Austin Bank, Texas National Association",548351,Jacksonville
Marion Center Bank,947525,Indiana
Bay Bank,2329200,Green Bay
National Bank of Commerce,775456,Superior
Peoples State Bank of Plainview,786555,Plainview
TCF National Bank,266271,Sioux Falls
Ameris Bank,764030,Atlanta
The Bank of Romney,722432,Romney
First Bank of Alabama,257233,Talladega
Security Federal Bank,763677,Aiken
The First National Bank of Le Center,986551,Lonsdale
Salem Co-operative Bank,670878,Salem
First Exchange Bank,170332,White Hall
New York Community Bank,694904,Hicksville
Carrollton Bank,1001648,Carrollton
Lakeside Bank - Lake Charles,4165907,Lake Charles
Landmark National Bank,481177,Manhattan
Forbright Bank,3187630,Potomac
Lake Ridge Bank,525549,Cross Plains
STAR Financial Bank,547840,Fort Wayne
Berkshire Bank,473501,Pittsfield
Security First Bank,276850,Lincoln
The Henry County Bank,896427,Napoleon
"Alerus Financial, National Association",933256,Grand Forks
Washington State Bank - Washington,311939,Washington
First Keystone Community Bank,790918,Berwick
The Bank of Old Monroe,880855,Old Monroe
The Jacksboro National Bank,924058,Jacksboro
"American Bank & Trust Company, Inc.",2919898,Bowling Green
"The Bank of LaFayette, Georgia",944739,La Fayette
Banterra Bank,502849,Marion
Vantage Bank Texas,26765,San Antonio
Metro Bank,1394621,Pell City
Liberty National Bank - Ada,130813,Ada
The State Bank,602048,Fenton
Elderton State Bank,282824,Elderton
Peapack-Gladstone Bank,236706,Bedminster
Century Next Bank,345877,Ruston
"Sunrise Banks, National Association",860053,Sioux Falls
"WaterStone Bank, SSB",310978,Wauwatosa
Bank of Idaho,300960,Idaho Falls
Premier Bank - Rock Valley,2539960,Rock Valley
South Lafourche Bank & Trust Company,135836,Larose
Busey Bank,416245,Champaign
Magyar Bank,548771,New Brunswick
Veritex Community Bank,3221468,Dallas
"Provident State Bank, Inc.",169327,Preston
Howard Bank,3282852,Baltimore
Security Federal Savings Bank,32971,Logansport
Royal Bank,532042,Elroy
TC FEDERAL BANK,67870,Thomasville
The First National Bank of River Falls,956255,River Falls
Providence Bank & Trust,3280625,South Holland
First Liberty Bank - Liberty,629353,Liberty
The Savings Bank - Wakefield,711801,Wakefield
Woodsboro Bank,406022,Woodsboro
Builtwell Bank,234739,Chattanooga
Pinnacle Bank - Elberton,366238,Elberton
First Foundation Bank,3637685,Irvine
Home Bank and Trust Company,840251,Eureka
CNB St Louis Bank,870650,Maplewood
Bank Forward,812557,Fargo
Walpole Co-operative Bank,63573,Walpole
Mercantile Bank,2608754,Grand Rapids
Comerica Bank,60143,Dallas
Woodlands Bank,1479470,Williamsport
Ulster Savings Bank,301800,Kingston
Rockland Trust Company,613008,Rockland
First Financial Bank - Bessemer,292234,Bessemer
Sterling National Bank,125471,Pearl River
Paragon Bank,3288452,Memphis
"The Citizens Bank of Philadelphia, Mississippi",29636,Philadelphia
"Citibank, National Association",476810,Sioux Falls
Vermillion State Bank,208057,Vermillion
Financial Federal Bank,590976,Memphis
AbbyBank,198149,Abbotsford
Farmers Bank & Trust,482156,Great Bend
First Missouri State Bank of Cape County,3383665,Cape Girardeau
First State Bank - Winchester,294023,Winchester
Territorial Savings Bank,564977,Honolulu
Eagle Bank,197302,Everett
Union Bank - Morrisville,333203,Morrisville
"Merchants Bank, National Association",779351,Winona
Frandsen Bank & Trust,751656,Lonsdale
Select Bank & Trust Company,2913887,Dunn
MainStreet Bank,3248849,Fairfax
American State Bank - Sioux Center,735441,Sioux Center
Monona Bank,1872996,Monona
Farmers State Bank of Munith,554941,Munith
Halstead Bank,747257,Halstead
First National Bank - Cloverdale,60648,Cloverdale
S&T Bank,936426,Indiana
NVE Bank,1012671,Englewood
Farmers State Bank - Victor,475354,Victor
BayFirst National Bank,2771694,Saint Petersburg
Unity Bank - Clinton,1890525,Clinton
Availa Bank,859141,Carroll
Stellar Bank,3579589,Houston
CenterBank,2887399,Milford
First Midwest Bank,1007846,Chicago
Dayspring Bank,151957,Gothenburg
Tioga State Bank National Association,910118,Spencer
Security First Bank of North Dakota,693952,New Salem
Points West Community Bank,444556,Windsor
Horizon Bank,130541,Michigan City
FNCB Bank,239613,Dunmore
Discover Bank,30810,Greenwood
Collinsville Building and Loan Association,658474,Collinsville
Traditions First Bank,2963864,Erin
The Citizens National Bank of Meridian,69333,Meridian
